      YRMODAY HRMN  SEC    LATITUDE   LONGITUDE   DEP,km  MAG   NO RMSRES    X,km     Y,km     Z, km      ID
   1 20101113 0837 23.904  39N47.800  119W00.480   0.341  0.03  10  0.021    2.733    2.245    0.341 101113083723   
   2 20101210 0826 22.786  39N48.413  118W59.526   0.222  0.94  12  0.034    4.096    3.380    0.222 101210082622   
   3 20101216 0532 55.202  39N47.687  119W00.515   0.205  0.85  16  0.019    2.684    2.037    0.205 101216053255   
   4 20101216 0904 18.805  39N47.614  119W00.657   0.017  0.55  13  0.023    2.481    1.901    0.017 101216090418   
   5 20101216 1845 24.726  39N47.619  119W00.646   0.248  0.21  14  0.019    2.497    1.911    0.248 101216184524   
   6 20101217 1423 54.707  39N48.720  119W00.074   2.237  2.21  11  0.049    3.313    3.947    2.237 101217142355   
   7 20101218 0927 15.538  39N47.810  119W00.492   0.541  0.54  15  0.033    2.717    2.264    0.541 101218092715   
   8 20101221 0052 34.552  39N47.620  119W00.703   0.215 -0.30   9  0.026    2.416    1.912    0.215  10122100523   
   9 20101221 0301  1.824  39N47.748  119W00.519   0.235 -0.20  12  0.026    2.679    2.150    0.235  10122103010   
  10 20101221 0301 31.134  39N47.715  119W00.594   0.227 -0.20  14  0.027    2.571    2.089    0.227  10122103013   
  11 20101225 1318 23.385  39N47.690  119W00.506   0.531  0.41  10  0.038    2.696    2.041    0.531 101225131823   
  12 20110102 1531 23.128  39N47.763  119W00.478  -0.088  0.58  11  0.034    2.738    2.178   -0.088 110102153123   
  13 20110102 2010  6.015  39N47.608  119W00.636   0.222  0.58  13  0.041    2.511    1.890    0.222 110102201005   
  14 20110115 1604 15.182  39N47.602  119W00.389  -0.103  0.16  15  0.042    2.864    1.878   -0.103 110115160415   
  15 20110116 0636 12.745  39N47.659  119W00.651   0.266  0.58  14  0.035    2.490    1.984    0.266 110116063612   
  16 20110116 0641  5.109  39N47.680  119W00.552   0.526  1.02  15  0.034    2.632    2.024    0.526 110116064105   
  17 20110117 0002 17.072  39N47.521  119W00.641   0.316  0.56  16  0.031    2.505    1.729    0.316 110117000217   
  18 20110117 1118 51.252  39N47.696  119W00.488   0.230  0.70  15  0.043    2.723    2.052    0.230 110117111851   
  19 20110117 1119  7.164  39N47.629  119W00.533   0.116  0.23  11  0.033    2.658    1.929    0.116 110117111907   
  20 20110117 1405  5.984  39N47.646  119W00.584   0.079 -0.20  14  0.025    2.585    1.960    0.079  11011714050   
  21 20110125 2022  1.448  39N47.599  119W00.649   0.037  0.51  13  0.026    2.493    1.874    0.037 110125202201   
  22 20110203 1057 31.398  39N47.654  119W00.657   0.237  0.27  12  0.024    2.481    1.974    0.237 110203105731   
  23 20110203 1213  9.693  39N47.777  119W00.739   0.591  0.68  12  0.040    2.364    2.202    0.591 110203121309   
  24 20110203 1220 42.425  39N47.585  119W00.734   0.014  0.53  14  0.020    2.371    1.848    0.014 110203122042   
  25 20110203 1220 47.375  39N47.779  119W00.672   0.610  0.94  14  0.038    2.460    2.206    0.610 110203122047   
  26 20110203 1232 48.640  39N47.776  119W00.650   0.294 -0.10  12  0.039    2.491    2.201    0.294  11020312324   
  27 20110203 1238 55.205  39N47.645  119W00.623   0.167 -0.40   7  0.029    2.531    1.958    0.167  11020312385   
  28 20110203 1248 38.815  39N47.710  119W00.812   0.176 -0.00  11  0.034    2.259    2.079    0.176  11020312483   
  29 20110203 1318 23.116  39N47.884  119W00.687   0.868  1.10  13  0.040    2.439    2.401    0.868 110203131823   
  30 20110203 1326 55.317  39N47.594  119W00.665  -0.027 -0.00  12  0.023    2.471    1.864   -0.027  11020313265   
  31 20110203 1336 27.591  39N47.613  119W00.691   0.430  0.72  15  0.043    2.432    1.899    0.430 110203133627   
  32 20110203 1452 26.891  39N47.665  119W00.635   0.320  0.76  14  0.033    2.513    1.995    0.320 110203145226   
  33 20110203 1453 46.523  39N47.619  119W00.643   0.025  0.28  12  0.023    2.501    1.910    0.025 110203145346   
  34 20110203 1514 22.539  39N47.556  119W00.686  -0.328  0.15  10  0.035    2.441    1.794   -0.328 110203151422   
  35 20110203 1532 42.473  39N47.515  119W00.790  -0.007  0.65  13  0.028    2.291    1.717   -0.007 110203153242   
  36 20110203 1542 12.885  39N47.667  119W00.682   0.361 -0.40  10  0.042    2.446    1.998    0.361  11020315421   
  37 20110203 1552 59.380  39N47.692  119W00.604  -0.305  0.41  13  0.036    2.557    2.045   -0.305 110203155259   
  38 20110203 1602  1.357  39N48.092  119W00.403   0.601  0.87  13  0.048    2.844    2.785    0.601 110203160201   
  39 20110203 1702 52.999  39N47.764  119W00.593   0.616 -0.10  13  0.038    2.572    2.178    0.616  11020317025   
  40 20110203 1711 15.805  39N47.808  119W00.543   0.467 -0.30  14  0.049    2.644    2.260    0.467  11020317111   
  41 20110203 1712 15.813  39N47.719  119W00.574   0.540 -0.10   9  0.031    2.600    2.096    0.540  11020317121   
  42 20110203 1757 16.338  39N47.539  119W00.626   0.160  0.68  14  0.029    2.525    1.762    0.160 110203175716   
  43 20110203 1812 28.282  39N47.653  119W00.639   0.523 -0.30   8  0.018    2.507    1.972    0.523  11020318122   
  44 20110203 1837 45.434  39N47.882  119W00.467   0.623  1.14  16  0.034    2.753    2.397    0.623 110203183745   
  45 20110203 1847 35.715  39N47.818  119W00.354   0.245 -0.40   9  0.034    2.913    2.279    0.245  11020318473   
  46 20110203 1848 50.895  39N47.810  119W00.712   0.502 -0.00  15  0.050    2.403    2.264    0.502  11020318485   
  47 20110203 1906 24.741  39N47.781  119W00.778   0.657 -0.10   9  0.026    2.309    2.210    0.657  11020319062   
  48 20110203 2014 43.599  39N47.809  119W00.762   0.545  0.41  13  0.030    2.331    2.261    0.545 110203201443   
  49 20110203 2057 19.980  39N47.611  119W00.742   0.051 -0.00  13  0.020    2.360    1.895    0.051  11020320571   
  50 20110203 2057 38.824  39N47.585  119W00.743  -0.009  0.80  13  0.020    2.359    1.847   -0.009 110203205738   
  51 20110203 2105 27.487  39N47.647  119W00.686  -0.114  1.04  16  0.018    2.440    1.962   -0.114 110203210527   
  52 20110203 2339 27.125  39N47.986  119W00.331   0.836  0.93  14  0.047    2.948    2.590    0.836 110203233927   
  53 20110203 2340 59.662  39N47.775  119W00.605   0.087  0.94  12  0.022    2.555    2.200    0.087 110203234059   
